Device/Package xc7z015clg485 10/16/2013 16:15:27                                                                                              
                                                                                                    
Pin   Pin Name                 Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
T10   DONE_0                   NA                 0     NA            NA                  CONFIG    NA
N12   DXP_0                    NA                 0     NA            NA                  CONFIG    NA
K11   GNDADC_0                 NA                 0     NA            NA                  CONFIG    NA
K12   VCCADC_0                 NA                 0     NA            NA                  CONFIG    NA
M12   VREFP_0                  NA                 0     NA            NA                  CONFIG    NA
M11   VN_0                     NA                 0     NA            NA                  CONFIG    NA
G14   VCCBATT_0                NA                 0     NA            NA                  CONFIG    NA
H11   TCK_0                    NA                 0     NA            NA                  CONFIG    NA
N11   DXN_0                    NA                 0     NA            NA                  CONFIG    NA
L11   VREFN_0                  NA                 0     NA            NA                  CONFIG    NA
L12   VP_0                     NA                 0     NA            NA                  CONFIG    NA
G12   RSVDGND                  NA                 0     NA            NA                  CONFIG    NA
T11   RSVDVCC3                 NA                 0     NA            NA                  CONFIG    NA
T14   RSVDVCC2                 NA                 0     NA            NA                  CONFIG    NA
T8    INIT_B_0                 NA                 0     NA            NA                  CONFIG    NA
H9    TDI_0                    NA                 0     NA            NA                  CONFIG    NA
G9    TDO_0                    NA                 0     NA            NA                  CONFIG    NA
T15   RSVDVCC1                 NA                 0     NA            NA                  CONFIG    NA
T9    CFGBVS_0                 NA                 0     NA            NA                  CONFIG    NA
V10   PROGRAM_B_0              NA                 0     NA            NA                  CONFIG    NA
H10   TMS_0                    NA                 0     NA            NA                  CONFIG    NA
T16   IO_0_13                  NA                 13    NA            NA                  HR        NA
V13   IO_L1P_T0_13             0                  13    NA            NA                  HR        NA
V14   IO_L1N_T0_13             0                  13    NA            NA                  HR        NA
V15   IO_L2P_T0_13             0                  13    NA            NA                  HR        NA
W15   IO_L2N_T0_13             0                  13    NA            NA                  HR        NA
W12   IO_L3P_T0_DQS_13         0                  13    NA            NA                  HR        NA
W13   IO_L3N_T0_DQS_13         0                  13    NA            NA                  HR        NA
V11   IO_L4P_T0_13             0                  13    NA            NA                  HR        NA
W11   IO_L4N_T0_13             0                  13    NA            NA                  HR        NA
U11   IO_L5P_T0_13             0                  13    NA            NA                  HR        NA
U12   IO_L5N_T0_13             0                  13    NA            NA                  HR        NA
U13   IO_L6P_T0_13             0                  13    NA            NA                  HR        NA
U14   IO_L6N_T0_VREF_13        0                  13    NA            NA                  HR        NA
AA11  IO_L7P_T1_13             1                  13    NA            NA                  HR        NA
AB11  IO_L7N_T1_13             1                  13    NA            NA                  HR        NA
AA12  IO_L8P_T1_13             1                  13    NA            NA                  HR        NA
AB12  IO_L8N_T1_13             1                  13    NA            NA                  HR        NA
AB13  IO_L9P_T1_DQS_13         1                  13    NA            NA                  HR        NA
AB14  IO_L9N_T1_DQS_13         1                  13    NA            NA                  HR        NA
Y12   IO_L10P_T1_13            1                  13    NA            NA                  HR        NA
Y13   IO_L10N_T1_13            1                  13    NA            NA                  HR        NA
AA14  IO_L11P_T1_SRCC_13       1                  13    NA            NA                  HR        NA
AA15  IO_L11N_T1_SRCC_13       1                  13    NA            NA                  HR        NA
Y14   IO_L12P_T1_MRCC_13       1                  13    NA            NA                  HR        NA
Y15   IO_L12N_T1_MRCC_13       1                  13    NA            NA                  HR        NA
Y18   IO_L13P_T2_MRCC_13       2                  13    NA            NA                  HR        NA
Y19   IO_L13N_T2_MRCC_13       2                  13    NA            NA                  HR        NA
AA16  IO_L14P_T2_SRCC_13       2                  13    NA            NA                  HR        NA
AA17  IO_L14N_T2_SRCC_13       2                  13    NA            NA                  HR        NA
AB21  IO_L15P_T2_DQS_13        2                  13    NA            NA                  HR        NA
AB22  IO_L15N_T2_DQS_13        2                  13    NA            NA                  HR        NA
AB18  IO_L16P_T2_13            2                  13    NA            NA                  HR        NA
AB19  IO_L16N_T2_13            2                  13    NA            NA                  HR        NA
AB16  IO_L17P_T2_13            2                  13    NA            NA                  HR        NA
AB17  IO_L17N_T2_13            2                  13    NA            NA                  HR        NA
